"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","cookie 2","","Thu Oct 30 11:42:49 MSK 2025","skipped","Thu Oct 30 11:42:49 MSK 2025","","Sandbox","",""
"","13620","Сценарий (один тест, сквозной)","","Thu Oct 30 11:42:35 MSK 2025","passed","Thu Oct 30 11:42:49 MSK 2025","","Sandbox","",""
